//PERSGR;//KV;//RV;//ALV;//PV
101;0,1,2,3,6,9;0,1,2,3,4;0,1,2;0,1,2
102;0,1,3,4,9;0,1,2;0,1;0,1,2
103;0,1,2,3,4,9;0,1,2,3;0,1,2;0,1,2
104;0;1,3;0;0
105;0,1,2,3;0,1,2;0,1;0,1,2
106;0,6;0,1,2,3,4;0;0
107;0,1,2,3;0,1,2;0,1;0,1,2
108;0,3,4,9;0,1,2;0;0,1,2
109;0,1,3,6;0,1,2,5,6;0,1,2;0,1,2
110;0;0;0;0
111;0,1,2,3;1,2;0,1;0,1,2
112;0,4;0,1,2,3,4;0,1,2;0,1,2
113;0,1,3,9;0,1,2,3,4;0,1,2;0,1,2
114;5;0,1,2,3,4;0,1,2;0
116;0,3;0,1,2;0;0,1,2
118;0,1,2,3,9;0,1,2,3,4;0;0,1,2
119;0,3,9;3,4;0,1,2;0,1,2
121;1,3;0,1;0,1;0,1,2
122;0,1,3,9;0,1;0,1;0,1,2
123;0,1,3,9;0,1;0,1,2;0,1,2
124;0,1,3,9;0,1,3;0,1,2;0,1,2
127;0,1,2,3;1,2,3,4;0,1;0,1,2
140;0,1,2,3,9;0,1,2,3,4;0,1,2;0,1,2
141;1;1,2;0,1;1,2
142;0,1,3,9;0,1,2;0,1;0,1,2
143;0;1,2;0;0
144;1;1;0,1;1,2
149;0,3,9;3,4;0,1,2;0,1,2
190;0;0;0;0
